threshold,median,mean,min,max,description
0.1,0.42483388485443985,0.4210491340908452,0.4053377438895419,0.43387734798777744,"MLPRegressor, hidden layers: (100,), solver: lbfgs"
0.1,0.3831028815366867,0.383415400539934,0.37041383773348985,0.39809523809523806,"MLPRegressor, hidden layers: (60, 60), solver: lbfgs"
0.04,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPRegressor, hidden layers: (10, 8, 6, 4), solver: lbfgs"
0.01,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPRegressor, hidden layers: (100,), solver: sgd"
0.01,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPRegressor, hidden layers: (60, 60), solver: sgd"
0.01,0.03647214854111406,0.03374003375282251,0.015471167369901548,0.04632152588555858,"MLPRegressor, hidden layers: (10, 8, 6, 4), solver: sgd"
0.1,0.4852776827213383,0.4915290352278247,0.4795539033457249,0.5153557758879701,"MLPRegressor, hidden layers: (100,), solver: adam"
0.1,0.4041582794231271,0.40224525274790923,0.3836950686402332,0.41454545454545455,"MLPRegressor, hidden layers: (60, 60), solver: adam"
0.04,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPRegressor, hidden layers: (10, 8, 6, 4), solver: adam"
0.01,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (100,), solver: lbfgs"
0.01,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (60, 60), solver: lbfgs"
0.01,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (10, 8, 6, 4), solver: lbfgs"
0.01,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (100,), solver: sgd"
0.01,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (60, 60), solver: sgd"
0.01,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (10, 8, 6, 4), solver: sgd"
0.01,0.49016724593767635,0.49103082677951315,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (100,), solver: adam"
0.01,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (60, 60), solver: adam"
0.01,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (10, 8, 6, 4), solver: adam"
